 NF , LCD , NucleusArea , CellArea , percentProtrusion , protrusion_extent ,NucIntegratedH,logNucbyRing488 (Yap)
0.0381232,5.59879,548,5051,27.0441,0.638095,172583.284,0.175677
0.342342,20.4207,435,2507,12.0862,0.329341,185533.155,0.243821
0.250936,17.7999,455,3467,12.0854,0.331683,147075.11,0.299744
0.0656371,8.39631,400,2944,29.3139,0.410811,201819.6,0.113921
0.297414,19.478,474,3464,10.9122,0.407407,152511.87,0.279401
0.311189,13.8122,447,4339,20.8112,0.668142,104241.294,0.339837
0.462963,21.8103,369,2531,14.9743,0.20122,79924.662,0.304926
0,5.93437,301,1903,23.9622,0.557143,82737.074,0.41916
0.0756303,9.27472,406,3323,23.2922,0.567251,120464.666,0.261287
0.233962,14.8324,509,3967,20.0907,0.664865,172591.72,0.219038
0.032,8.76501,275,539,8.34879,0.106796,853410.25,0.000135279
0.355263,19.1314,389,3177,6.73591,0.334842,106629.957,0.220562
0.237037,7.57002,304,1257,10.8194,0.271186,96716.688,0.255491
0.539474,22.5124,448,2615,15.6405,0.437126,100944.704,0.273217
0,6.20578,370,2583,36.2369,0.626016,163266.2,0.0108495
0.613757,32.7225,365,2478,6.49718,0.316384,53961.235,0.104881
1,74.4048,356,842,0,0,69555.28,0.0439211
1,108.225,381,670,0,0,75938.253,0.0476279
1,65.703,481,1663,0,0,108741.113,-0.00298545
0.658291,28.0741,397,2558,13.1744,0.304598,55703.467,0.0370922
0.825472,38.2848,429,2819,15.502,0.28,74270.196,-0.0530793
1,37.037,619,2368,0,0,131400.701,-0.138831
1,63.6537,372,1206,0,0,69714.288,-0.0228424
1,74.239,490,1903,0,0,80897.53,0.0300943
0.69,11.5527,508,2923,4.61854,0.173684,88021.668,0.145038
0.409091,12.6727,334,2815,14.6714,0.323529,78342.038,0.340429
0.602094,25.1004,365,2217,19.3054,0.197279,95662.12,0.0565265
0.533981,18.8857,478,2642,3.33081,0.18,74031.684,0.0394947
0.54661,25.5363,337,2921,16.6724,0.391534,73917.58,0.243652
0.642553,23.8777,361,2664,17.042,0.186869,78757.565,0.087213
0.478814,23.2992,450,3135,3.47687,0.120192,119912.85,0.185562
0.767544,34.1763,478,2962,11.8163,0.199029,90382.63,0.168867
0.714286,16.5371,299,2700,17.3704,0.478788,82564.664,0.135136
0.820809,58.8582,276,2098,2.04957,0.107595,72562.056,-0.00418614
0.490066,25.3614,370,1703,0,0.041958,78150.66,0.285048
0.360856,9.78857,601,6175,3.98381,0.251572,94767.483,0.5028
0.251121,13.7798,439,3372,11.1507,0.35,54818.369,0.241997
0.293878,20.5804,310,2517,4.88677,0.153439,91088.85,0.330934
0.913043,46.3177,367,1685,4.51039,0.186047,78267.154,-0.025679
0.909091,85.4701,373,1290,10.6202,0.126984,78271.439,0.0163056
0.585,21.2359,450,2393,3.59382,0.190476,47935.8,0.0715541
1,111.982,261,836,0,0,67499.559,-0.0993149
1,61.9579,578,2794,0,0,144271.69,-0.0304597
0.489712,15.9923,445,3335,15.1724,0.228723,99053.44,0.206406
0.6,21.0349,391,2665,17.7111,0.387283,108201.43,0.009991
1,99.6016,227,750,0,0,90449.058,-0.13055
0.848606,46.0405,460,2239,6.25279,0.0456853,51106.92,0.072923
1,55.1572,495,2437,0,0,162377.325,0.0231335
1,109.409,458,2163,0,0,90616.674,0.0452024
1,54.8246,488,2645,0,0,84845.144,-0.00578309
1,60.4595,499,1198,0,0,87604.44,-0.0580339
1,56.4972,531,1070,0,0,138386.034,-0.119727
0.496503,20.004,555,4687,19.9061,0.344037,135576.51,-0.0403509
0.76555,28.0269,660,2524,0,0,137079.36,0.0154816
0.699681,24.1371,841,4265,5.65064,0.280277,171657.351,0.0632744
1,41.806,686,2616,3.24924,0.0679612,150139.332,-0.0699124
1,45.1671,518,1955,3.78517,0.097561,158261.95,0.104774
1,55.3403,585,1366,0,0,138511.035,-0.119062
1,53.2765,403,1904,0,0,71231.056,0.0215809
0.247444,13.245,971,8727,13.189,0.542105,192866.817,0.300257
1,48.7567,525,1977,0,0,103288.5,0.0464208
0.0742358,7.31904,354,3017,18.9261,0.4,82897.596,0.222023
